id,y_true,y_pred,absolute_error
1731241829.788735,81.0,143.49771798721363,62.49771798721363
1731241839.793007,302.0,150.64745096956335,151.35254903043665
1731241849.795063,200.0,77.05659193974893,122.94340806025107
1731241859.799571,114.0,88.07153288021792,25.928467119782084
1731241869.801966,200.0,151.24730648245344,48.75269351754656
1731241879.805573,43.0,61.91745607289509,18.917456072895092
1731241909.815521,265.0,201.48184993149977,63.51815006850023
1731241919.821239,59.0,121.85910435040009,62.85910435040009
1731246932.532004,272.0,239.46228792160946,32.53771207839054
1731246942.537404,114.0,88.07153288021792,25.928467119782084
1731246952.54638,237.0,157.80199942631646,79.19800057368354
1731246962.556697,85.0,150.8406712468463,65.84067124684631
1731246972.569337,109.0,156.8133580599175,47.813358059917505
1731246982.575603,198.0,182.3114936765587,15.688506323441288
1731246992.578337,308.0,263.7858956299527,44.21410437004732
1731247002.588297,83.0,123.83433596242709,40.83433596242709
1731247012.596013,173.0,200.44085356158348,27.44085356158348
1731247022.60683,48.0,192.59955487492226,144.59955487492226
1731247032.618674,115.0,92.68775339240395,22.31224660759605
1731247042.627654,122.0,191.53507677898565,69.53507677898565
1731247052.632739,221.0,202.4957582368978,18.504241763102186
1731247062.64383,103.0,129.83194068571228,26.831940685712283
1731247072.653755,57.0,53.44714914894786,3.552850851052142
1731247082.66253,186.0,199.01864200988092,13.01864200988092
1731247427.492265,252.0,240.84721173414746,11.152788265852536
1731247437.504779,162.0,125.04342485444745,36.95657514555255
1731247447.515717,118.0,155.51050404974444,37.51050404974444
1731247457.526208,263.0,262.294905161449,0.7050948385510196
1731247467.534219,140.0,128.82556725044935,11.174432749550647
1731247477.546493,283.0,184.78118571770753,98.21881428229247
1731247487.549818,80.0,79.05271657222744,0.947283427772561
1731247497.559739,86.0,155.22757789951248,69.22757789951248
1731247507.571872,274.0,245.4709782980075,28.52902170199249
1731247517.578211,69.0,100.66339134964326,31.663391349643263
1731247527.590934,265.0,201.48184993149977,63.51815006850023
1731247537.600741,142.0,138.95794611461957,3.042053885380426
